,State.Name,City.Name,County.Name,Latitude,Longitude,Parameter.Name,Units.of.Measure,Metric.Used,Sample.Duration,Observation.Count
131,Pennsylvania,Clairton,Allegheny,40.294341,-79.885331,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,58
132,Pennsylvania,Clairton,Allegheny,40.294341,-79.885331,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,58
133,Pennsylvania,Kittanning,Armstrong,40.814183,-79.56475,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24-HR BLK AVG,342
134,Pennsylvania,Kittanning,Armstrong,40.814183,-79.56475,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24-HR BLK AVG,342
135,Pennsylvania,Beaver Falls,Beaver,40.747796,-80.316442,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,358
136,Pennsylvania,Beaver Falls,Beaver,40.747796,-80.316442,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,358
137,Pennsylvania,Beaver Falls,Beaver,40.747796,-80.316442,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24-HR BLK AVG,337
138,Pennsylvania,Beaver Falls,Beaver,40.747796,-80.316442,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24-HR BLK AVG,337
139,Pennsylvania,,Berks,40.38335,-75.9686,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,310
140,Pennsylvania,,Berks,40.38335,-75.9686,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,310
141,Pennsylvania,,Berks,40.38335,-75.9686,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24-HR BLK AVG,360
142,Pennsylvania,,Berks,40.38335,-75.9686,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24-HR BLK AVG,360
143,Pennsylvania,Altoona,Blair,40.535278,-78.370833,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24-HR BLK AVG,346
144,Pennsylvania,Altoona,Blair,40.535278,-78.370833,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24-HR BLK AVG,346
145,Pennsylvania,Bristol,Bucks,40.107222,-74.882222,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,320
146,Pennsylvania,Bristol,Bucks,40.107222,-74.882222,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,320
147,Pennsylvania,Bristol,Bucks,40.107222,-74.882222,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24-HR BLK AVG,330
148,Pennsylvania,Bristol,Bucks,40.107222,-74.882222,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24-HR BLK AVG,330
149,Pennsylvania,Johnstown,Cambria,40.309722,-78.915,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24-HR BLK AVG,345
150,Pennsylvania,Johnstown,Cambria,40.309722,-78.915,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24-HR BLK AVG,345
151,Pennsylvania,State College,Centre,40.811389,-77.877028,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,286
152,Pennsylvania,State College,Centre,40.811389,-77.877028,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,286
