,State.Name,City.Name,County.Name,Latitude,Longitude,Parameter.Name,Units.of.Measure,Metric.Used,Sample.Duration,Observation.Count
81,Pennsylvania,,Dauphin,40.246992,-76.846988,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,4524
82,Pennsylvania,Hershey,Dauphin,40.272222,-76.681389,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5625
83,Pennsylvania,Chester,Delaware,39.835556,-75.3725,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6136
84,Pennsylvania,,Elk,41.598119,-78.767867,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6133
85,Pennsylvania,Erie,Erie,42.14175,-80.038611,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6051
86,Pennsylvania,,Franklin,39.961111,-77.475556,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5877
87,Pennsylvania,,Greene,39.80933,-80.26567,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5795
88,Pennsylvania,,Indiana,40.56333,-78.919972,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5974
89,Pennsylvania,Blakely,Lackawanna,41.479116,-75.578186,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5997
90,Pennsylvania,Scranton,Lackawanna,41.442778,-75.623056,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6062
91,Pennsylvania,Lancaster,Lancaster,40.046667,-76.283333,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6157
92,Pennsylvania,,Lancaster,40.043833,-76.1124,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6148
93,Pennsylvania,New Castle,Lawrence,40.995848,-80.346442,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6149
94,Pennsylvania,,Lebanon,40.337328,-76.383447,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6168
95,Pennsylvania,Allentown,Lehigh,40.611944,-75.4325,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6109
96,Pennsylvania,Nanticoke,Luzerne,41.209167,-76.003333,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6184
97,Pennsylvania,Wilkes-Barre,Luzerne,41.265556,-75.846389,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6025
98,Pennsylvania,Montoursville,Lycoming,41.2508,-76.9238,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6091
99,Pennsylvania,Farrell,Mercer,41.215014,-80.484779,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5745
100,Pennsylvania,,Mercer,41.4271,-80.1451,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5957
101,Pennsylvania,,Monroe,41.08306,-75.32328,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6182
102,Pennsylvania,Norristown,Montgomery,40.112222,-75.309167,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6129
103,Pennsylvania,Freemansburg,Northampton,40.628056,-75.341111,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,4941
104,Pennsylvania,Wilson,Northampton,40.692224,-75.237156,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,4763
105,Pennsylvania,,Perry,40.456944,-77.165556,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6163
