State.Name,City.Name,County.Name,Latitude,Longitude,Parameter.Name,Units.of.Measure,Metric.Used,Sample.Duration,Observation.Count
Massachusetts,Boston,Suffolk,  42.363100000000003, -71.054299999999998,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,347
Massachusetts,Boston,Suffolk,  42.363100000000003, -71.054299999999998,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,325
Massachusetts,Boston,Suffolk,  42.363100000000003, -71.054299999999998,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,325
Massachusetts,Boston,Suffolk,  42.325186000000002, -71.056061000000000,Nitrogen dioxide (NO2),Parts per billion,Observed values,1 HOUR,4549
Massachusetts,Boston,Suffolk,  42.325186000000002, -71.056061000000000,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,31
Massachusetts,Boston,Suffolk,  42.325186000000002, -71.056061000000000,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,31
Massachusetts,Worcester,Worcester,  42.274318999999998, -71.875511000000003,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5164
Massachusetts,Worcester,Worcester,  42.260102000000003, -71.798374999999993,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,110
Massachusetts,Worcester,Worcester,  42.260102000000003, -71.798374999999993,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,110
Massachusetts,Worcester,Worcester,  42.263955000000003, -71.794321999999994,Nitrogen dioxide (NO2),Parts per billion,Observed values,1 HOUR,8243
Massachusetts,Worcester,Worcester,  42.263955000000003, -71.794321999999994,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,121
Massachusetts,Worcester,Worcester,  42.263955000000003, -71.794321999999994,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,121
Massachusetts,Uxbridge,Worcester,  42.099699000000001, -71.619399000000001,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5305
Connecticut,Bridgeport,Fairfield,  41.170833000000002, -73.194721999999999,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,120
Connecticut,Bridgeport,Fairfield,  41.170833000000002, -73.194721999999999,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,120
Connecticut,Greenwich (Town of),Fairfield,  41.004657000000002, -73.585127999999997,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,3089
Connecticut,Danbury,Fairfield,  41.399166999999998, -73.443055999999999,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,2966
Connecticut,Danbury,Fairfield,  41.399166999999998, -73.443055999999999,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,122
Connecticut,Danbury,Fairfield,  41.399166999999998, -73.443055999999999,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,122
Connecticut,Stratford (Town of),Fairfield,  41.152500000000003, -73.103055999999995,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,3032
Connecticut,Westport,Fairfield,  41.118333000000000, -73.336667000000006,Nitrogen dioxide (NO2),Parts per billion,Observed values,1 HOUR,8533
Connecticut,Westport,Fairfield,  41.118333000000000, -73.336667000000006,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,3039
Connecticut,Westport,Fairfield,  41.118333000000000, -73.336667000000006,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,122
Connecticut,Westport,Fairfield,  41.118333000000000, -73.336667000000006,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,122
Connecticut,Hartford,Hartford,  41.771444000000002, -72.679923000000002,Nitrogen dioxide (NO2),Parts per billion,Observed values,1 HOUR,6383
Connecticut,East Hartford,Hartford,  41.784722000000002, -72.631666999999993,Nitrogen dioxide (NO2),Parts per billion,Observed values,1 HOUR,7069
Connecticut,East Hartford,Hartford,  41.784722000000002, -72.631666999999993,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,2926
Connecticut,East Hartford,Hartford,  41.784722000000002, -72.631666999999993,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,361
Connecticut,East Hartford,Hartford,  41.784722000000002, -72.631666999999993,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,361
Connecticut,East Hartford,Hartford,  41.742500000000000, -72.634444000000002,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,121
Connecticut,East Hartford,Hartford,  41.742500000000000, -72.634444000000002,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,121
Connecticut,Cornwall,Litchfield,  41.821342000000001, -73.297257000000002,Nitrogen dioxide (NO2),Parts per billion,Observed values,1 HOUR,8477
Connecticut,Cornwall,Litchfield,  41.821342000000001, -73.297257000000002,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6039
Connecticut,Cornwall,Litchfield,  41.821342000000001, -73.297257000000002,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,118
Connecticut,Cornwall,Litchfield,  41.821342000000001, -73.297257000000002,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,118
Connecticut,Middletown,Middlesex,  41.552196000000002, -72.630015000000000,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,3043
Connecticut,New Haven,New Haven,  41.301400000000001, -72.902871000000005,Nitrogen dioxide (NO2),Parts per billion,Observed values,1 HOUR,8626
Connecticut,New Haven,New Haven,  41.301400000000001, -72.902871000000005,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6095
Connecticut,New Haven,New Haven,  41.301400000000001, -72.902871000000005,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,350
Connecticut,New Haven,New Haven,  41.301400000000001, -72.902871000000005,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,350
Connecticut,New Haven,New Haven,  41.301400000000001, -72.902871000000005,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,52
Connecticut,New Haven,New Haven,  41.301400000000001, -72.902871000000005,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,52
Connecticut,New Haven,New Haven,  41.310833000000002, -72.916944000000001,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,121
Connecticut,New Haven,New Haven,  41.310833000000002, -72.916944000000001,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,121
Connecticut,Waterbury,New Haven,  41.550556000000000, -73.043610999999999,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,120
Connecticut,Waterbury,New Haven,  41.550556000000000, -73.043610999999999,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,120
Connecticut,Waterbury,New Haven,  41.550556000000000, -73.043610999999999,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,61
Connecticut,Waterbury,New Haven,  41.550556000000000, -73.043610999999999,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,61
Connecticut,Madison (Town of),New Haven,  41.256788000000000, -72.553269999999998,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,3052
Connecticut,Groton,New London,  41.353619999999999, -72.078819999999993,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,2981
Connecticut,Norwich,New London,  41.524166999999998, -72.076667000000000,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,120
Connecticut,Norwich,New London,  41.524166999999998, -72.076667000000000,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,120
Connecticut,Stafford (Stafford Hollow),Tolland,  41.976388999999998, -72.388056000000006,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,2925
Connecticut, ,Windham,  41.840460000000000, -72.010368000000000,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6135
New York,Albany,Albany,  42.642249999999997, -73.754639999999995,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,112
New York,Albany,Albany,  42.642249999999997, -73.754639999999995,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,112
New York,Albany,Albany,  42.642249999999997, -73.754639999999995,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,112
New York,Albany,Albany,  42.642249999999997, -73.754639999999995,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,112
New York,Albany,Albany,  42.680750000000003, -73.757329999999996,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6146
New York,Albany,Albany,  42.680750000000003, -73.757329999999996,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,103
New York,Albany,Albany,  42.680750000000003, -73.757329999999996,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,103
New York,New York,Bronx,  40.816000000000003, -73.902000000000001,Nitrogen dioxide (NO2),Parts per billion,Observed values,1 HOUR,8434
New York,New York,Bronx,  40.816000000000003, -73.902000000000001,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5928
