CTUID,Total,No Major Repairs Needed,Major Repairs Needed,pGoodCondition
5370133.02,2505,2370,140,0.946107784
5370140.02,3045,2920,130,0.958949097
5370140.03,2505,2455,50,0.98003992
5370140.04,1320,1295,25,0.981060606
5370141,1475,1395,75,0.945762712
5370142.01,1330,1235,100,0.928571429
5370142.02,1620,1585,40,0.978395062
5370143,1345,1250,95,0.92936803
5370144.01,1750,1675,75,0.957142857
5370144.02,610,585,20,0.959016393
5370200,980,920,55,0.93877551
5370201,1355,1305,50,0.963099631
5370202,2900,2815,85,0.970689655
5370203,1130,1100,35,0.973451327
5370204,2070,1935,145,0.934782609
5370205.01,1350,1310,40,0.97037037
5370205.02,2925,2785,135,0.952136752
5370206,1990,1835,150,0.922110553
5370207.01,2430,2290,135,0.942386831
5370207.02,2035,1960,75,0.963144963
5370207.03,1430,1380,40,0.965034965
5370207.04,1140,1085,50,0.951754386
5370208,1240,1165,70,0.939516129
5370209,625,585,40,0.936
5370210,930,860,70,0.924731183
5370211,1255,1200,60,0.956175299
5370212,770,715,55,0.928571429
5370213,2035,1900,135,0.933660934
5370214,1205,1095,110,0.908713693
5370215,1245,1130,110,0.907630522
5370216,1475,1410,60,0.955932203
5370217.01,2445,2225,220,0.91002045
5370217.02,1365,1315,50,0.963369963
5370218,2690,2585,100,0.960966543
5370219,1580,1525,55,0.965189873
5370220,2545,2370,175,0.931237721
5370221,1185,1130,55,0.953586498
5370222.01,,,,#DIV/0!
5370222.02,1750,1655,95,0.945714286
5370222.03,1585,1540,45,0.971608833
5370223.01,985,920,60,0.934010152
5370223.02,1725,1650,80,0.956521739
5370223.05,985,945,40,0.959390863
5370223.06,1305,1270,35,0.973180077
5370223.07,1710,1635,70,0.956140351
5370223.09,2685,2655,35,0.988826816
5370223.1,1580,1575,10,0.996835443
5370223.12,3590,3450,135,0.961002786
5370223.13,1620,1580,40,0.975308642
5370223.14,1440,1435,10,0.996527778
5370223.15,860,840,20,0.976744186
5370223.16,815,800,15,0.981595092
5370224.01,3125,3120,10,0.9984
5370224.02,1295,1225,75,0.945945946
5370300,730,685,45,0.938356164
5370301,2855,2785,70,0.975481611
5370302,2425,2250,180,0.927835052
5370303.01,1440,1380,65,0.958333333
5370303.02,2925,2865,65,0.979487179
