CTUID,Pop Density,Average Household Age,Average Household Size,Average Household Total Income ,Average Number of Rooms,Average Shelter Monthly Cost,p Housing Suitability,Built On or After 2001,p Single-Detached Houses,pGoodCondition
5370084.02,3105.5,45.2,2.4,78613,6.9,1127,0.968,0.056,0.507936508,0.944
5370084.03,2110.4,47,2.7,96018,8,1286,0.980263158,0.026143791,0.946666667,0.954248366
5370084.04,765.4,49.8,2,88687,5.8,1359,0.973544974,0.216931217,0.221052632,0.947089947
5370084.05,3269.1,47,2.8,101594,7.6,1197,0.970873786,0.17961165,0.826086957,0.941747573
5370085.01,1636.1,45.2,2.9,122545,8.3,1336,0.961538462,0.066433566,0.859649123,0.975524476
5370085.02,3762.8,40.4,2.9,99935,7.2,1311,0.950672646,0.138702461,0.632286996,0.966367713
5370085.03,513.9,43,2.6,112875,6.8,1652,0.97133758,0.450793651,0.504761905,0.968152866
5370086,817.9,36.4,3.1,125879,7.4,1700,0.970172684,0.597484277,0.86163522,0.966981132
5370100.01,289.9,34.2,3.1,110331,6.9,1730,0.973015873,0.838095238,0.592063492,0.984126984
5370100.02,101.8,35,3,109249,7.2,1632,0.985018727,0.672284644,0.743445693,0.968164794
5370101.01,282.4,47.2,2.4,93849,6.6,1352,0.976780186,0.549535604,0.577399381,0.981424149
5370101.02,69.4,40.8,3,118642,7.7,1438,0.95709571,0.168316832,0.990066225,0.930693069
5370120.02,28.1,40.8,3.1,231292,8.3,1714,0.963768116,0.094890511,0.935251799,0.890510949
5370120.03,2973.9,38.4,3.1,133149,7.6,1674,0.967816092,0.551724138,0.702517162,0.983944954
5370120.04,1847,35.5,3.3,142509,6.9,2038,0.956756757,0.921621622,0.64498645,0.989189189
5370121,28.7,41.5,2.8,125079,7.9,1423,0.968253968,0.08,0.888888889,0.92
5370122.01,1902,40.3,2.7,127524,7.7,1589,0.979746835,0.310606061,0.70959596,0.97721519
5370122.02,1120.3,42.8,2.9,170420,8.3,1636,0.986928105,0.34422658,0.795206972,0.969498911
5370123,1038.8,43.9,2.8,155409,8.2,1613,0.975791434,0.173184358,0.858208955,0.960893855
5370124,262.1,46.4,2.8,164296,8.8,1768,0.99609375,0.125490196,0.85,0.956862745
5370130.02,1452.2,46.3,2.5,129124,7.8,1257,0.993464052,0.032679739,0.867549669,0.964169381
5370130.03,1704.5,49.9,2.4,122877,7.3,1286,0.969924812,0.030075188,0.596958175,0.958646617
5370131,415.5,43.4,2.4,104554,6.9,1292,0.978779841,0.034574468,0.752021563,0.941644562
5370132,2732.6,48.4,1.9,79273,5.4,1374,0.98381877,0.029126214,0.342019544,0.932258065
5370133.01,846.5,42,2.9,155047,8,1708,0.970338983,0.199152542,0.691983122,0.983050847
5370133.02,2482.6,47.3,2.2,92449,6.2,1324,0.970119522,0.18762475,0.483168317,0.946107784
5370140.02,842,39.1,2.8,120971,7.1,1722,0.968801314,0.251231527,0.615763547,0.958949097
5370140.03,1105.4,34.6,3,128939,7.5,1819,0.98003992,0.396,0.647524752,0.98003992
5370140.04,1198.5,39.3,2.8,133149,7.6,1687,0.984848485,0.246212121,0.661538462,0.981060606
5370141,105.2,43.9,2.7,145195,7.9,1489,0.979591837,0.105442177,0.934482759,0.945762712
5370142.01,31.9,40.1,2.9,127845,8.1,1565,0.977443609,0.063670412,0.969924812,0.928571429
5370142.02,29.1,48.7,2.4,104259,7,1189,0.990740741,0.265432099,0.86196319,0.978395062
