CTUID,PopDensity,meanAge,meanHouseholdSize,meanIncome ,meanRooms,pSuitability,pDetached,pGoodCondition,pEmployment,pBuilt1991
5370205.02,4486.3,52.9,1.7,78059,4.5,0.948717949,0.200680272,0.952136752,0.515,0.332191781
5370206,3281.6,48.2,1.9,78933,4.9,0.952261307,0.190104167,0.922110553,0.577,0.123115578
5370207.01,1253.7,40,2.7,190813,7.5,0.969135802,0.515463918,0.942386831,0.659,0.189690722
5370207.02,3639.7,37.9,3,119924,7.8,0.98034398,0.700251889,0.963144963,0.718,0.046683047
5370207.03,2462.5,43.3,2.7,116068,7.8,0.989473684,0.665492958,0.965034965,0.626,0.038461538
5370207.04,3383.8,49,2.2,83560,6.1,0.969298246,0.253275109,0.951754386,0.559,0.219298246
5370208,1817.5,39.8,2.5,89353,6.7,0.971659919,0.545816733,0.939516129,0.692,0.032388664
5370209,2027.6,43.1,2.5,99970,7.3,0.984,0.951612903,0.936,0.623,0.016
5370210,2050.5,38.9,2.5,82264,6.3,0.951871658,0.380434783,0.924731183,0.645,0.14973262
5370211,1725.3,38.9,2.4,87867,6,0.948412698,0.418699187,0.956175299,0.726,0.135458167
5370212,3157.7,43.9,2.2,110934,6.4,0.980519481,0.439189189,0.928571429,0.639,0.207792208
5370213,4763.9,51.3,1.8,95930,5,0.965601966,0.20657277,0.933660934,0.586,0.211302211
5370214,2438.1,46.7,2.2,96123,6.1,0.966804979,0.569037657,0.908713693,0.605,0.082987552
5370215,3751.5,44.1,2.1,103292,5.8,0.951807229,0.395348837,0.907630522,0.615,0.084337349
5370216,1882.6,43.1,2.8,226649,8.9,0.983050847,0.90443686,0.955932203,0.608,0.138983051
5370217.01,2352.4,49.4,2,74600,5.6,0.961145194,0.206185567,0.91002045,0.558,0.069529652
5370217.02,1655,46.8,2.5,119035,7.6,0.981684982,0.685920578,0.963369963,0.584,0.193430657
5370218,1598.4,41,2.6,107901,6.9,0.979553903,0.530726257,0.960966543,0.648,0.25464684
5370219,1946,43,2.9,211208,8.9,0.990506329,0.981191223,0.965189873,0.606,0.098101266
5370220,3422.6,50.4,2.2,104576,6.3,0.964636542,0.44140625,0.931237721,0.552,0.10805501
5370221,2720.4,43.2,2.7,118443,7.8,0.978902954,0.841880342,0.953586498,0.658,0.029535865
5370222.01,0,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!
5370222.02,3005.4,44.5,2.4,97684,6.5,0.977142857,0.47740113,0.945714286,0.594,0.217142857
5370222.03,4539.3,39.7,2.8,123876,6.9,0.990536278,0.495207668,0.971608833,0.679,0.536277603
5370223.01,1636.9,42.2,2.6,107805,7.5,0.984693878,0.77,0.934010152,0.646,0.066326531
5370223.02,1841.3,39.4,2.7,108359,6.9,0.959537572,0.573099415,0.956521739,0.733,0.211594203
5370223.05,3210.3,37.2,3.2,138609,8,0.959183673,0.751269036,0.959390863,0.721,0.234693878
5370223.06,2743.2,40.5,3,151092,8.4,0.988505747,0.907692308,0.973180077,0.683,0.099616858
5370223.07,3673.5,42,2.6,127810,7.1,0.979472141,0.551020408,0.956140351,0.694,0.388888889
5370223.09,3044.5,32.4,3.2,152225,7.2,0.985130112,0.68164794,0.988826816,0.75,0.992565056
5370223.1,3660.6,34.1,2.9,125696,6.8,0.990506329,0.617554859,0.996835443,0.761,0.993670886
5370223.12,1012.7,44.7,2.2,94580,5.2,0.974930362,0.084958217,0.961002786,0.671,0.974895397
5370223.13,2480.3,40,2.8,167098,7.7,0.981481481,0.503125,0.975308642,0.638,0.817901235
5370223.14,2724.5,42.1,2.9,201571,8.6,0.989583333,0.650684932,0.996527778,0.589,0.92733564
5370223.15,3222.9,38.9,2.7,127730,7.4,0.98255814,0.405714286,0.976744186,0.702,0.959302326
5370223.16,3624.1,37.4,2.7,127270,7,0.969325153,0.339622642,0.981595092,0.73,0.641975309
5370224.01,1740.4,31,3.4,129274,6.9,0.9584,0.6288,0.9984,0.725,1
5370224.02,47.6,44.3,2.8,241645,8.7,0.969111969,0.959259259,0.945945946,0.63,0.216216216
5370300,43.3,42,2.8,114909,7.6,0.986206897,0.963768116,0.938356164,0.672,0.178082192
5370301,693.5,38.2,2.7,111306,7.1,0.982486865,0.589965398,0.975481611,0.693,0.583187391
5370302,1437.3,45.4,2.2,80105,6.3,0.977319588,0.608247423,0.927835052,0.565,0.082474227
5370303.01,2092.2,42.7,2.7,115303,7.6,0.982638889,0.71875,0.958333333,0.618,0.361111111
5370303.02,1344.7,44.1,2.7,127800,7.6,0.970989761,0.757264957,0.979487179,0.629,0.582905983
